SUMMARY,DTSTART,DTEND,DUE,NOTES,ATTENDEE,LOCATION,PRIORITY,URL,CALENDAR,UID
OHS Parent Association Meeting,1/19/2012 10:00,1/19/2012 11:30,,,,,,,,
OHS Parent Association Meeting,1/19/2012 20:00,1/19/2012 21:30,,,,,,,,
Friday make-up of Monday’s missed classes (MLK),1/20/2012 0:00,1/21/2012 0:00,,,,,,,,
UM52B Midterm (Zaurova),2/10/2012 0:00,2/16/2012 0:00,,,,,,,,
OC11A Midterm (Shapiro),2/15/2012 0:00,2/20/2012 0:00,,,,,,,,
OHS Parent Association Meeting,2/16/2012 10:00,2/16/2012 11:30,,,,,,,,
OHS Parent Association Meeting,2/16/2012 20:00,2/16/2012 21:30,,,,,,,,
Course Drop Deadline,2/20/2012 0:00,2/21/2012 0:00,,,,,,,,
Presidents Day,2/20/2012 0:00,2/21/2012 0:00,,,,,,,,
OLA11 Midterm (Balsley),2/23/2012 0:00,2/25/2012 0:00,,,,,,,,
OP053 Midterm (McKale),2/23/2012 0:00,2/27/2012 0:00,,,,,,,,
Friday make-up of Monday’s missed classes (Presidents Day),2/24/2012 0:00,2/25/2012 0:00,,,,,,,,
Speaker Series - Congressman Andrews,2/24/2012 14:00,2/24/2012 15:30,,"Congressman Rob Andrews (D-NJ) will speak about education and the SOPA legislation on Friday, February 24th at 1 pm Pacific time in Centra. This event in the OHS Speaker Series is sponsored by the Student Government. ",,Centra,,,,
OM4BC Midterm (Alper),2/25/2012 0:00,3/5/2012 0:00,,,,,,,,
OM012 Midterm (Nuckols/Zaurova),2/27/2012 0:00,3/5/2012 0:00,,,,,,,,
Gateway Site Tutorial 1,2/27/2012 10:00,2/27/2012 11:00,,,,Centra,,,,
OM015 Midterm (Shapiro),2/29/2012 0:00,3/5/2012 0:00,,,,,,,,
OC005 Midterm (Halley),3/1/2012 0:00,3/5/2012 0:00,,,,,,,,
OB010 Midterm (Failor),3/1/2012 0:00,3/5/2012 0:00,,,,,,,,
OLA12 Midterm (Haas),3/1/2012 0:00,3/5/2012 0:00,,,,,,,,
OC010 Midterm (Freed),3/1/2012 0:00,3/5/2012 0:00,,,,,,,,
OLA03 Midterm (Haas),3/1/2012 0:00,3/5/2012 0:00,,,,,,,,
